MEMBER_KEY,MEMBER_NAME_x,YEAR,YEARLY_SPEND,TARGET_SPEND,MEMBER_NAME_y,BUSINESS_TYPE,POSTCODE_AREA,SECTOR_1,SECTOR_2,SIC_CODES,TRADE_COUNTER,WEB_PRESENCE
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2020,111.96,,E McIntyre & Sons Ltd t/a Jefferson,Supplier,BT,Hand Tools,Power Tools Specialist,47190|46620,False,True
159998e65d5c3e7782d4ce1ea8be993a,WSM FASTENERS,2018,864.0,,WSM FASTENERS,Member,BS,,,,,
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2016,1915646.33,,Frank Blakeley & Son Ltd,Member,OL,Wholesaler,Construction Supplies,46620,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2016,1915646.33,,Frank Blakeley & Son Ltd Preston,Member,PR,,Construction Supplies,,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2017,1924224.65,,Frank Blakeley & Son Ltd,Member,OL,Wholesaler,Construction Supplies,46620,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2017,1924224.65,,Frank Blakeley & Son Ltd Preston,Member,PR,,Construction Supplies,,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2018,1978927.92,,Frank Blakeley & Son Ltd,Member,OL,Wholesaler,Construction Supplies,46620,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2018,1978927.92,,Frank Blakeley & Son Ltd Preston,Member,PR,,Construction Supplies,,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2019,1548.54,,Frank Blakeley & Son Ltd,Member,OL,Wholesaler,Construction Supplies,46620,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2019,1548.54,,Frank Blakeley & Son Ltd Preston,Member,PR,,Construction Supplies,,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2020,116.28,,Frank Blakeley & Son Ltd,Member,OL,Wholesaler,Construction Supplies,46620,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2020,116.28,,Frank Blakeley & Son Ltd Preston,Member,PR,,Construction Supplies,,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2021,3282.12,,Frank Blakeley & Son Ltd,Member,OL,Wholesaler,Construction Supplies,46620,True,True
1816849ae0192ab952549755ffce8e80,Frank Blakeley & Son Ltd,2021,3282.12,,Frank Blakeley & Son Ltd Preston,Member,PR,,Construction Supplies,,True,True
18717cc345c4500b23607a65f2d35bc9,"DALZIEL LTD.,   T/A MK INGREDIENTS",2018,681.95,,"DALZIEL LTD.,   T/A MK INGREDIENTS",Member,EX,,,,,
1892e77639127e95e48d437e35d3873e,"RYONA ENGINEERING SUPPLIES LTD.,",2018,473.68,,"RYONA ENGINEERING SUPPLIES LTD.,",Member,CV,,,,,
1ba9442e90d183f0a24b96c1868237cf,Multiquip Supplies Ltd,2016,226569.29,,Multiquip Supplies Ltd,Member,SN,Traders Generalist,Engineering,47990,True,False
1ba9442e90d183f0a24b96c1868237cf,Multiquip Supplies Ltd,2017,174220.22,,Multiquip Supplies Ltd,Member,SN,Traders Generalist,Engineering,47990,True,False
1ba9442e90d183f0a24b96c1868237cf,Multiquip Supplies Ltd,2018,179664.68,,Multiquip Supplies Ltd,Member,SN,Traders Generalist,Engineering,47990,True,False
1f7103153e001cc16a7cb89c77e6b1ac,TOWN AND COUNTY ENG. SERVICES LTD,2018,6028.7,,TOWN AND COUNTY ENG. SERVICES LTD,Member,PE,,,,,
1f7103153e001cc16a7cb89c77e6b1ac,TOWN AND COUNTY ENG. SERVICES LTD,2019,226.18,,TOWN AND COUNTY ENG. SERVICES LTD,Member,PE,,,,,
210dc772b2e16f58009f9493aca9e077,Tower Tools & Equipment Ltd,2016,-5128.93,,Tower Tools & Equipment Ltd,Member,KA,,,,False,False
218864845e7c4dd4636e125c935a00cb,Miter Industrial Supplies Ltd,2020,45764.68,,Miter Industrial Supplies Ltd,Member,NP,PPE Specialist,PPE Specialist,46900,True,True
218864845e7c4dd4636e125c935a00cb,Miter Industrial Supplies Ltd,2021,153134.59,,Miter Industrial Supplies Ltd,Member,NP,PPE Specialist,PPE Specialist,46900,True,True
218864845e7c4dd4636e125c935a00cb,Miter Industrial Supplies Ltd,2022,145147.46,141000.0,Miter Industrial Supplies Ltd,Member,NP,PPE Specialist,PPE Specialist,46900,True,True
218864845e7c4dd4636e125c935a00cb,Miter Industrial Supplies Ltd,2023,183726.8,137680.0,Miter Industrial Supplies Ltd,Member,NP,PPE Specialist,PPE Specialist,46900,True,True
